District,Latitude,Longitude,SubRetailer Draw ID
Bax belə Market Mikrorayon,40.40705,49.8182417,11604.0061
Əziz Market Bayıl,40.3433591,49.8182133,11604.2394
Ailə 2 Market Bayıl,40.3378506,49.8181897,11604.1683
Uğur Market Binəqədi,40.4655386,49.8181782,11604.107
Kiosk Elvin 3MKR,40.4066282,49.8174297,11604.2503
Səbinə Market 9cu MKR,40.4238198,49.8173489,11604.0015
Ramal Sadıqov Eyvaz,40.394031,49.8160758,11604.7848
Rasim Kərimli Kamil,40.4106088,49.8160504,11604.8171
Pərakəndə Metrostansiya Elmlər,40.3751959,49.8156552,11604.8688
Alman malları Market 9-cu MKR,40.4208652,49.8151977,11604.0501
Vüsal Cəfərov İlqar,40.410335,49.8151167,11604.8303
Kiosk 041 Memar Əcəmi Nəsimi r,40.40994268,49.81500064,11604.7747
Pərakəndə Metrostansiya Əcəmi,40.4104679,49.814485,11604.8686
Kiosk 010 Memar Əcəmi,40.4107546,49.8144438,11604.7738
Elxan Abbasov Telman,40.4061596,49.8143448,11604.7696
Valeh Əskərov Elşən,40.4104656,49.8141605,11604.8099
Turqud Hüseyinov Xalid,40.4062521,49.8140479,11604.7927
Qaçay Əzimov Nuriş,40.4103317,49.8136074,11604.8016
Vasif Məhərrəmov Sakin,40.40529,49.81217,11604.7934
Pərakəndə Bravo 20 Yanvar,40.4016475,49.8110395,11604.8681
Nadir Ədilov Elşən,40.3838046,49.8109679,11604.8018
Səhyəddin Hüseynov Şakir,40.4396222,49.8096178,11604.7905
Pərakəndə Şöbə Velotrek 2,40.4042822,49.8093286,11604.8709
Səid Mirzəyev Eynulla,40.4009093,49.8090311,11604.8654
Pərakəndə Şöbə Velotrek 1,40.4040167,49.8088333,11604.8708
Kamil Rəhimov Dilən,40.4375226,49.8087524,11604.7972
Nağı Abdinov Əvəz,40.4034978,49.8085844,11604.8362
Pərakəndə Metrostansiya 20 Yanvar,40.4042965,49.8084051,11604.8683
Pərakəndə Şöbə 20 Yanvar - 2,40.4042977,49.8084031,11604.8702
Kiosk 014 Nəsimi rayonu,40.4047975,49.8081866,11604.7741
Kiosk 145 Moskva prospekti,40.4055901,49.8074122,11604.7769
Tünzalə Abdullayeva Telman,40.3368765,49.8065781,11604.792
Əli Qulusoylu Cəbrayıl,40.4066517,49.8064567,11604.8592
Kiosk Qasım Badamdar,40.3378855,49.8063464,11604.294
Nəvai İsmayılov Nüsrət,40.4045444,49.8062345,11604.7811
Məhəbbət Market Biləcəri,40.44044,49.8057598,11604.0214
Ucuz Market Biləcəri stansiya,40.4319574,49.8045559,11604.1614
Zaur Rəcəbov Hüseyn,40.3820227,49.8042301,11604.7961
Kənan Yusifov Şövkət,40.4109017,49.8042183,11604.7992
Pərakəndə Metrostansiya İnşaatçılar - 2,40.388912,49.8031045,11604.8692
Elməddin Rəfiyev İsmixan,40.3892836,49.8027244,11604.8131
Poladxan Namazlı Əmirxan,40.3898961,49.8027193,11604.8624
Tarıverdi Xammədov Allahverən,40.3889387,49.8026087,11604.7995
Pərakəndə Metrostansiya İnşaatçılar,40.3914011,49.8020991,11604.8691
Amid Market Binəqədi DSK,40.4477057,49.8001027,11604.0737
Zakir Mustafayev Zəkəriyə,40.4218359,49.7987953,11604.8622
Pərakəndə Metrostansiya Avtovağzal,40.4178743,49.798303,11604.8684
Ekonom Market DSK yolu,40.4417484,49.78621,11604.0009
Pərakəndə Araz Supermarket Novxanı,40.5367901,49.78272,11604.8675
Mini Bazar Market Binəqədi,40.4522746,49.7796548,11604.2419
Fortuna Trade MMC,40.4353277,49.774982,27052
Novxanı Market Novxanı bağları,40.5601073,49.7596259,11604.4665
Kiosk Əfqan 2 Masazır,40.4848711,49.7578213,11604.1953
Vahid Market Masazır,40.4847001,49.7574826,11604.017
Tural Allahverdiyev Biləndər,40.4389415,49.757439,11604.8656
AY Şərab evi Masazır,40.4904745,49.7565412,11604.1405
Aslanlı Market Sulutəpə,40.4338433,49.7555283,11604.0946
Kiosk Ramil Masazır,40.4673282,49.7544215,11604.0662
Kiosk Əfqan Masazır,40.4767576,49.7527675,11604.1104
Yeni Bakı Çay evi Masazır,40.4915567,49.7493242,11604.4844
Borçalı Market Lökbatan,40.3265959,49.7488344,11604.2362
Zaur Məmmədov Nazim,40.4485807,49.7477149,11604.7959
Eyvaz Şahməmmədov Seyidverdi,40.4544118,49.7453131,11604.8596
Bəxtəvər Həşimov Əşirəf,40.4415404,49.7445026,11604.8657
Yadigar Fərzəliyev Nəsir,40.4605924,49.7444456,11604.8095
Qarabağ Qaziləri Market Lökbatan,40.3275876,49.7436191,11604.22
Pərakəndə Araz Supermarket Masazır,40.4700222,49.742385,11604.8673
Pərakəndə Araz Supermarket Abşeron,40.4700222,49.742385,11604.8671
Pərakəndə Araz Supermarket Xırdalan,40.4556191,49.7415154,11604.868
Bəxtiyar Xubyarlı Ehtibar,40.4556016,49.741509,11604.7654
Fortuna Trade MMC,40.4557149,49.7410393,27083
Pərvin Səfərəliyev Oktay,40.4552304,49.7382692,11604.7829
Fədai Hüseynov Araz,40.321927,49.7342198,11604.8565
Zakir Quliyev Axan,40.3219298,49.733675,11604.8669
Elnur Talıbov Bayram,40.3220059,49.7329329,11604.8033
Həbib Mollayev Nadir,40.3220199,49.7306522,11604.8566
Əmir Market Sulutəpə Mexkalon qə,40.4439375,49.729004,11604.224
Emil Alışov Kamal,40.3262226,49.728164,11604.8036
Rəfail Fərzəliyev Səfərəli,40.3250795,49.7272043,11604.799
Yusif Market Xırdalan,40.4618977,49.7252398,11604.4456
Əli Market Saray,40.5321388,49.7243948,11604.039
"	Aurora Kosmetika dükanı Xırdalan",40.4584232,49.7238715,11604.4898
Bulud Market Lökbatan,40.3273976,49.7181668,11604.067
Səfəralı Əliyev Əli,40.43237853,49.7140422,11604.811
Narıncı Market Saray qəsəbəsi,40.5478625,49.7130416,11604.2496
Alco Stop Şərab evi Sumqayıt,40.5584687,49.7085429,11604.4725
Kiosk Sərvin Sumqayıt 18 MKR,40.5588244,49.706065,11604.2541
Səlim Alıyev Rəhim,40.5596863,49.6980396,11604.8609
Azər Əsgərov Tofiq,40.5612937,49.6939534,11604.812
Nəsrəddin Bəkirov Bəkir,40.5686965,49.6920167,11604.8607
Sadiq Həşimov Əlövsət,40.5701726,49.6896732,11604.8608
Vaqif Gülhəsənov Məstəli,40.5659965,49.6859515,11604.861
Təhmasib Əsgərov Azər,40.5664249,49.6847804,11604.8186
Kərim Market Sumqayıt,40.5665771,49.684562,11604.0006
Smoke House Sumqayıt,40.5792969,49.6844757,11604.2808
